month,scene,zone,metric,value,cloud
2020-10,S2A_48NUG_20201002_0_L2A,pax_t4,stock_bright,1856.0,0.34316134316134317
2020-10,S2A_48NUG_20201002_0_L2A,airfield,stock_bright,1432.0,0.22390637381392609
2020-12,S2A_48NUG_20201201_0_L2A,west_cargo,stock_bright,3762.0,0.8674747474747475
2020-12,S2A_48NUG_20201201_0_L2A,east_cargo,stock_bright,4332.0,0.8849945235487404
2020-12,S2A_48NUG_20201201_0_L2A,pax_t123,stock_bright,8068.0,0.988934346386129
2020-12,S2A_48NUG_20201201_0_L2A,pax_t4,stock_bright,2100.0,0.6862316862316862
2020-12,S2A_48NUG_20201201_0_L2A,airfield,stock_bright,5044.0,0.8618058800820855
2021-02,S2A_48NUG_20210219_0_L2A,west_cargo,stock_bright,1490.0,0.21393939393939393
2021-02,S2A_48NUG_20210219_0_L2A,east_cargo,stock_bright,2036.0,0.4519897772909821
2021-02,S2A_48NUG_20210219_0_L2A,pax_t123,stock_bright,2096.0,0.40553282680693553
2021-02,S2A_48NUG_20210219_0_L2A,pax_t4,stock_bright,3196.0,0.14814814814814814
2021-02,S2A_48NUG_20210219_0_L2A,airfield,stock_bright,1792.0,0.24794278399739927
2021-02,S2A_48NUG_20210219_1_L2A,west_cargo,stock_bright,1384.0,0.05555555555555555
2021-02,S2A_48NUG_20210219_1_L2A,east_cargo,stock_bright,1990.0,0.40562248995983935
2021-02,S2A_48NUG_20210219_1_L2A,pax_t123,stock_bright,1960.0,0.09133060588349892
2021-02,S2A_48NUG_20210219_1_L2A,pax_t4,stock_bright,3164.0,0.186004186004186
2021-02,S2A_48NUG_20210219_1_L2A,airfield,stock_bright,1710.0,0.1719832578174208
2021-02,S2A_48NUG_20210219_1_L2A,west_cargo,pairdiff,2500375.0,0.21393939393939393
2021-02,S2A_48NUG_20210219_1_L2A,east_cargo,pairdiff,,0.4519897772909821
2021-02,S2A_48NUG_20210219_1_L2A,pax_t123,pairdiff,,0.40553282680693553
2021-02,S2A_48NUG_20210219_1_L2A,pax_t4,pairdiff,2949517.0,0.186004186004186
2021-02,S2A_48NUG_20210219_1_L2A,airfield,pairdiff,42401384.0,0.24794278399739927
2021-03,S2A_48NUG_20210301_0_L2A,west_cargo,stock_bright,1588.0,0.007272727272727273
2021-03,S2A_48NUG_20210301_0_L2A,east_cargo,stock_bright,1606.0,0.012656687355482536
2021-03,S2A_48NUG_20210301_0_L2A,pax_t123,stock_bright,1722.0,0.01897525813364504
